Year,Film,Director,Producers
2023,Anatomy of a Fall,Justine Triet,"Marie-Ange Luciani, David Thion"
2023,Killers of the Flower Moon,Martin Scorsese,"Dan Friedkin, Bradley Thomas, Martin Scorsese, Daniel Lupi"
2023,Maestro,Bradley Cooper,"Martin Scorsese, Steven Spielberg, Bradley Cooper, Fred Berner, Amy Durning, Kristie Macosko Krieger"
2023,Past Lives,Celine Song,"David Hinojosa, Christine Vachon, Pamela Koffler"
2023,The Zone of Interest,Jonathan Glazer,"James Wilson, Ewa Puszczyńska"
2024,The Brutalist,Brady Corbet,"Trevor Matthews, Nick Gordon, Brian Young, Andrew Morrison, Andrew Lauren, D.J. Gugenheim, Brady Corbet"
2024,A Complete Unknown,James Mangold,"Fred Berger, James Mangold, Alex Heineman, Bob Bookman, Peter Jaysen, Alan Gasmer, Jeff Rosen, Timothée Chalamet"
2024,Conclave,Edward Berger,"Tessa Ross, Juliette Howell, Michael Jackman, Alice Dawson, Robert Harris"
2024,Dune: Part Two,Denis Villeneuve,"Mary Parent, Cale Boyter, Patrick McCormick, Tanya Lapointe, Denis Villeneuve"
2024,Nickel Boys,RaMell Ross,"Dede Gardner, Jeremy Kleiner, David Levine, Joslyn Barnes"
2024,September 5,Tim Fehlbaum,"Philipp Trauer, Thomas Wöbke, Tim Fehlbaum, Sean Penn, John Ira Palmer, John Wildermuth"
