Year,Film,Director,Producer
2017,Get Out,Jordan Peele,"Jordan Peele, Jason Blum, Sean McKittrick, and Edward H. Hamm Jr."
2017,The Greatest Showman,Michael Gracey,"Laurence Mark, Peter Chernin, and Jenno Topping"
2017,"I, Tonya",Craig Gillespie,"Margot Robbie, Tom Ackerley, Steven Rogers, and Bryan Unkeless"
2018,Green Book,Peter Farrelly,"Jim Burke, Charles B. Wessler, Brian Hayes Currie, Peter Farrelly, and Nick Vallelonga"
2018,Crazy Rich Asians,Jon M. Chu,"Nina Jacobson, Brad Simpson, and John Penotti"
2018,The Favourite,Yorgos Lanthimos,"Ceci Dempsey, Ed Guiney, Lee Magiday, and Yorgos Lanthimos"
2018,Mary Poppins Returns,Rob Marshall,"Rob Marshall, John DeLuca, and Marc Platt"
2018,Vice,Adam McKay,"Brad Pitt, Dede Gardner, Jeremy Kleiner, Will Ferrell, Adam McKay, and Kevin Messick"
2019,Once Upon a Time...in Hollywood,Quentin Tarantino,"David Heyman, Shannon McIntosh and Quentin Tarantino"
2019,Dolemite Is My Name,Craig Brewer,"Eddie Murphy, John Davis and John Fox"
2019,Jojo Rabbit,Taika Waititi,"Carthew Neal, Taika Waititi and Chelsea Winstanley"
2019,Knives Out,Rian Johnson,Ram Bergman and Rian Johnson
2019,Rocketman,Dexter Fletcher,"Adam Bohling, David Furnish, David Reid and Matthew Vaughn"
2020,Borat Subsequent Moviefilm: Delivery of Prodigious Bribe to American Regime for Make Benefit Once Glorious Nation of Kazakhstan,Jason Woliner,"Sacha Baron Cohen, Monica Levinson, Anthony Hines"
2020,Hamilton,Thomas Kail,"Thomas Kail, Lin-Manuel Miranda, Jeffrey Seller"
2020,Music,Sia,"Sia, Vincent Landay"
2020,Palm Springs,Max Barbakow,"Chris Parker, Andy Samberg, Akiva Schaffer, Dylan Sellers, Becky Sloviter, Jorma Taccone"
2020,The Prom,Ryan Murphy,"Ryan Murphy, Alexis Martin Woodall, Adam Anders, Dori Berenstein, Bill Damaschke"
2021,West Side Story,Steven Spielberg,"Steven Spielberg, Kristie Macosko Krieger, Kevin McCollum"
2021,Cyrano,Joe Wright,"Tim Bevan, Eric Fellner, Guy Heeley"
2021,Don't Look Up,Adam McKay,"Adam McKay, Kevin Messick"
2021,Licorice Pizza,Paul Thomas Anderson,"Sara Murphy, Adam Somner, Paul Thomas Anderson"
2021,"tick, tick... BOOM!",Lin-Manuel Miranda,"Brian Grazer, Ron Howard, Julie Oh, Lin-Manuel Miranda"
2022,The Banshees of Inisherin,Martin McDonagh,"Graham Broadbent, Peter Czernin, Martin McDonagh"
2022,Babylon,Damien Chazelle,"Marc Platt, Matthew Plouffe, Olivia Hamilton"
2022,Everything Everywhere All at Once,Daniel Kwan and Daniel Scheinert,"Anthony Russo, Joe Russo, Mike Larocca, Daniel Kwan, Daniel Scheinert, Jonathan Wang"
2022,Glass Onion: A Knives Out Mystery,Rian Johnson,"Ram Bergman, Rian Johnson"
2022,Triangle of Sadness,Ruben Östlund,"Erik Hemmendorff, Philippe Bober"
2023,Poor Things,Yorgos Lanthimos,"Emma Stone, Ed Guiney, Yorgos Lanthimos, Andrew Lowe"
2023,Air,Ben Affleck,"David Ellison, Jesse Sisgold, Jon Weinbach, Ben Affleck, Matt Damon, Madison Ainley, Jeff Robinov, Peter Guber, Jason Michael Berman"
2023,American Fiction,Cord Jefferson,"Ben LeClair, Nikos Karamigios, Cord Jefferson, Jermaine Johnson"
2023,Barbie,Greta Gerwig,"Margot Robbie, Robbie Brenner, Tom Ackerley, David Heyman"
2023,The Holdovers,Alexander Payne,"Mark Johnson, Bill Block, David Hemingson"
2023,May December,Todd Haynes,"Natalie Portman, Sophie Mas, Christine Vachon, Pamela Koffler, Grant S. Johnson, Tyler W. Konney, Jessica Elbaum, Will Ferrell"
2024,Emilia Pérez,Jacques Audiard,"Jacques Audiard, Pascal Caucheteux, Valérie Schermann & Anthony Vaccarello"
2024,A Real Pain,Jesse Eisenberg,"Ewa Peszczyńska, Jennifer Semler, Jesse Eisenberg, Emma Stone, Ali Herting & Dave McCary"
2024,Anora,Sean Baker,"Alex Coco, Samantha Quan & Sean Baker"
2024,Challengers,Luca Guadagnino,"Amy Pascal, Luca Guadagnino, Zendaya & Rachel O’Connor"
2024,The Substance,Carolie Fargeat,"Carolie Fargeat, Tim Bevan & Eric Fellner"
2024,Wicked,Jon M. Chu,Marc Platt & David Stone
