Year,Actor,Film,Character
"2017
(71st)",Daniel Day-Lewis,Phantom Thread,Reynolds Woodcock
"2017
(71st)",Daniel Kaluuya,Get Out,Chris Washington
"2018
(72nd)",Rami Malek,Bohemian Rhapsody,Freddie Mercury
"2018
(72nd)",Christian Bale,Vice,Dick Cheney
"2018
(72nd)",Steve Coogan,Stan & Ollie,Stan Laurel
"2018
(72nd)",Bradley Cooper,A Star Is Born,Jackson Maine
"2018
(72nd)",Viggo Mortensen,Green Book,"Frank ""Tony Lip"" Vallelonga"
"2019
(73rd)",Joaquin Phoenix,Joker,Arthur Fleck / Joker
"2019
(73rd)",Leonardo DiCaprio,Once Upon a Time in Hollywood,Rick Dalton
"2019
(73rd)",Adam Driver,Marriage Story,Charlie Barber
"2019
(73rd)",Taron Egerton,Rocketman,Elton John
"2019
(73rd)",Jonathan Pryce,The Two Popes,Cardinal Jorge Mario Bergoglio
"2020
(74th)",Anthony Hopkins,The Father,Anthony
"2020
(74th)",Riz Ahmed,Sound of Metal,Ruben Stone
"2020
(74th)",Chadwick Boseman,Ma Rainey's Black Bottom,Levee Green
"2020
(74th)",Adarsh Gourav,The White Tiger,Balram Halwai
"2020
(74th)",Mads Mikkelsen,Another Round,Martin
"2020
(74th)",Tahar Rahim,The Mauritanian,Mohamedou Ould Salahi
"2021
(75th)",Will Smith,King Richard,Richard Williams
"2021
(75th)",Adeel Akhtar,Ali & Ava,Ali
"2021
(75th)",Mahershala Ali,Swan Song,Cameron Turner
"2021
(75th)",Benedict Cumberbatch,The Power of the Dog,Phil Burbank
"2021
(75th)",Leonardo DiCaprio,Don't Look Up,Dr. Randall Mindy
"2021
(75th)",Stephen Graham,Boiling Point,Andy Jones
"2022
(76th)",Austin Butler,Elvis,Elvis Presley
"2022
(76th)",Colin Farrell,The Banshees of Inisherin,Pádraic Súilleabháin
"2022
(76th)",Brendan Fraser,The Whale,Charlie
"2022
(76th)",Daryl McCormack,"Good Luck to You, Leo Grande",Leo Grande / Connor
"2022
(76th)",Paul Mescal,Aftersun,Calum Patterson
"2022
(76th)",Bill Nighy,Living,Mr. Williams
"2023
(77th)",Cillian Murphy,Oppenheimer,J. Robert Oppenheimer
"2023
(77th)",Bradley Cooper,Maestro,Leonard Bernstein
"2023
(77th)",Colman Domingo,Rustin,Bayard Rustin
"2023
(77th)",Paul Giamatti,The Holdovers,Paul Hunham
"2023
(77th)",Barry Keoghan,Saltburn,Oliver Quick
"2023
(77th)",Teo Yoo,Past Lives,Hae Sung
"2024
(78th)",Adrien Brody,The Brutalist,László Tóth
"2024
(78th)",Timothée Chalamet,A Complete Unknown,Bob Dylan
"2024
(78th)",Colman Domingo,Sing Sing,"John ""Divine G"" Whitfield"
"2024
(78th)",Ralph Fiennes,Conclave,Thomas Cardinal Lawrence
"2024
(78th)",Hugh Grant,Heretic,Mr. Reed
"2024
(78th)",Sebastian Stan,The Apprentice,Donald Trump
