Year,Actor,Role(s),Film,Ref.
2018,Lucas Hedges,Jared Eamons,Boy Erased,
2018,John David Washington,Ron Stallworth,BlacKkKlansman,
2019,Joaquin Phoenix,Arthur Fleck / Joker,Joker,
2019,Christian Bale,Ken Miles,Ford v. Ferrari,
2019,Antonio Banderas,Salvador Mallo,Pain and Glory,
2019,Adam Driver,Charlie Barber,Marriage Story,
2019,Jonathan Pryce,Cardinal Jorge Mario Bergoglio,The Two Popes,
2020,Chadwick Boseman,Levee Green,Ma Rainey's Black Bottom,
2020,Riz Ahmed,Ruben Stone,Sound of Metal,
2020,Anthony Hopkins,Anthony,The Father,
2020,Gary Oldman,Herman J. Mankiewicz,Mank,
2020,Tahar Rahim,Mohamedou Ould Salahi,The Mauritanian,
2021,Will Smith,Richard Williams,King Richard,
