Year,Actor,Film,Role(s),Ref.
"2007
(14th)",Ryan Gosling,Lars and the Real Girl,Lars Lindstrom,
"2007
(14th)",Emile Hirsch,Into the Wild,Christopher McCandless,
"2007
(14th)",Viggo Mortensen,Eastern Promises,Nikolai Luzhin,
"2008
(15th)",Sean Penn,Milk,Harvey Milk,
"2008
(15th)",Richard Jenkins,The Visitor,Walter Vale,
"2008
(15th)",Frank Langella,Frost/Nixon,Richard Nixon,
"2008
(15th)",Brad Pitt,The Curious Case of Benjamin Button,Benjamin Button,
"2008
(15th)",Mickey Rourke,The Wrestler,"Randy ""The Ram"" Robinson",
"2009
(16th)",Jeff Bridges,Crazy Heart,"Otis ""Bad"" Blake",
"2009
(16th)",George Clooney,Up in the Air,Ryan Bingham,
"2009
(16th)",Colin Firth,A Single Man,George Falconer,
"2009
(16th)",Morgan Freeman,Invictus,Nelson Mandela,
"2009
(16th)",Jeremy Renner,The Hurt Locker,Staff Sgt. First Class William James,
"2010
(17th)",Colin Firth,The King's Speech,King George VI,
"2010
(17th)",Jeff Bridges,True Grit,"Reuben ""Rooster"" Cogburn",
"2010
(17th)",Robert Duvall,Get Low,Felix Bush,
"2010
(17th)",Jesse Eisenberg,The Social Network,Mark Zuckerberg,
"2010
(17th)",James Franco,127 Hours,Aron Ralston,
"2011
(18th)",Jean Dujardin,The Artist,George Valentin,
"2011
(18th)",Demián Bichir,A Better Life,Carlos Galindo,
"2011
(18th)",George Clooney,The Descendants,Matt King,
"2011
(18th)",Leonardo DiCaprio,J. Edgar,J. Edgar Hoover,
"2011
(18th)",Brad Pitt,Moneyball,Billy Beane,
"2012
(19th)",Daniel Day-Lewis,Lincoln,Abraham Lincoln,
"2012
(19th)",Bradley Cooper,Silver Linings Playbook,"Patrizio ""Pat"" Solitano, Jr.",
"2012
(19th)",John Hawkes,The Sessions,Mark O'Brien,
"2012
(19th)",Hugh Jackman,Les Misérables,Jean Valjean,
"2012
(19th)",Denzel Washington,Flight,"William ""Whip"" Whitaker, Sr.",
"2013
(20th)",Matthew McConaughey,Dallas Buyers Club,Ron Woodroof,
"2013
(20th)",Bruce Dern,Nebraska,"Woodrow ""Woody"" Grant",
"2013
(20th)",Chiwetel Ejiofor,12 Years a Slave,Solomon Northup,
"2013
(20th)",Tom Hanks,Captain Phillips,Richard Phillips,
"2013
(20th)",Forest Whitaker,The Butler,Cecil Gaines,
"2014
(21st)",Eddie Redmayne,The Theory of Everything,Stephen Hawking,
"2014
(21st)",Steve Carell,Foxcatcher,John Eleuthère du Pont,
"2014
(21st)",Benedict Cumberbatch,The Imitation Game,Alan Turing,
"2014
(21st)",Jake Gyllenhaal,Nightcrawler,"Louis ""Lou"" Bloom",
"2014
(21st)",Michael Keaton,Birdman,Riggan Thomson,
"2015
(22nd)",Leonardo DiCaprio,The Revenant,Hugh Glass,
"2015
(22nd)",Bryan Cranston,Trumbo,Dalton Trumbo,
"2015
(22nd)",Johnny Depp,Black Mass,Whitey Bulger,
"2015
(22nd)",Michael Fassbender,Steve Jobs,Steve Jobs,
"2015
(22nd)",Eddie Redmayne,The Danish Girl,Lili Elbe / Einar Wegener,
"2016
(23rd)",Denzel Washington,Fences,Troy Maxson,
"2016
(23rd)",Casey Affleck,Manchester by the Sea,Lee Chandler,
"2016
(23rd)",Ryan Gosling,La La Land,Sebastian Wilder,
"2016
(23rd)",Andrew Garfield,Hacksaw Ridge,Desmond T. Doss,
"2016
(23rd)",Viggo Mortensen,Captain Fantastic,Ben Cash,
"2017
(24th)",Gary Oldman,Darkest Hour,Winston Churchill,
"2017
(24th)",Timothée Chalamet,Call Me by Your Name,Elio Perlman,
"2017
(24th)",James Franco,The Disaster Artist,Tommy Wiseau,
"2017
(24th)",Daniel Kaluuya,Get Out,Chris Washington,
"2017
(24th)",Denzel Washington,"Roman J. Israel, Esq.",Roman J. Israel,
"2018
(25th)",Rami Malek,Bohemian Rhapsody,Freddie Mercury,
"2018
(25th)",Christian Bale,Vice,Dick Cheney,
"2018
(25th)",Bradley Cooper,A Star Is Born,Jackson Maine,
"2018
(25th)",Viggo Mortensen,Green Book,Tony Lip,
"2018
(25th)",John David Washington,BlacKkKlansman,Ron Stallworth,
"2019
(26th)",Joaquin Phoenix,Joker,Arthur Fleck / Joker,
"2019
(26th)",Christian Bale,Ford v Ferrari,Ken Miles,
"2019
(26th)",Leonardo DiCaprio,Once Upon a Time in Hollywood,Rick Dalton,
"2019
(26th)",Adam Driver,Marriage Story,Charlie Barber,
"2019
(26th)",Taron Egerton,Rocketman,Elton John,
"2020
(27th)",Chadwick Boseman,Ma Rainey's Black Bottom,Levee Green,
"2020
(27th)",Riz Ahmed,Sound of Metal,Ruben Stone,
"2020
(27th)",Anthony Hopkins,The Father,Anthony,
"2020
(27th)",Gary Oldman,Mank,Herman J. Mankiewicz,
"2020
(27th)",Steven Yeun,Minari,Jacob Yi,
"2021
(28th)",Will Smith,King Richard,Richard Williams,
"2021
(28th)",Javier Bardem,Being the Ricardos,Desi Arnaz,
"2021
(28th)",Benedict Cumberbatch,The Power of the Dog,Phil Burbank,
"2021
(28th)",Andrew Garfield,"Tick, Tick...Boom!",Jonathan Larson,
"2021
(28th)",Denzel Washington,The Tragedy of Macbeth,Lord Macbeth,
"2022
(29th)",Brendan Fraser,The Whale,Charlie,
"2022
(29th)",Austin Butler,Elvis,Elvis Presley,
"2022
(29th)",Colin Farrell,The Banshees of Inisherin,Pádraic Súilleabháin,
"2022
(29th)",Bill Nighy,Living,Mr. Williams,
"2022
(29th)",Adam Sandler,Hustle,Stanley Sugerman,
"2023
(30th)",Cillian Murphy,Oppenheimer,J. Robert Oppenheimer,
"2023
(30th)",Bradley Cooper,Maestro,Leonard Bernstein,
"2023
(30th)",Colman Domingo,Rustin,Bayard Rustin,
"2023
(30th)",Paul Giamatti,The Holdovers,Paul Hunham,
"2023
(30th)",Jeffrey Wright,American Fiction,"Thelonious ""Monk"" Ellison",
"2024
(31st)",Timothée Chalamet,A Complete Unknown,Bob Dylan,
"2024
(31st)",Adrien Brody,The Brutalist,László Tóth,
"2024
(31st)",Daniel Craig,Queer,William Lee,
"2024
(31st)",Colman Domingo,Sing Sing,"John ""Divine G"" Whitfield",
"2024
(31st)",Ralph Fiennes,Conclave,Thomas Cardinal Lawrence,
